file,display,date,tier,tail,old_group
0-frontier/2025-05-22-claude-sonnet-4-base-FRONTIER.png,Claude Sonnet 4,2025-05-22,0,FRONTIER,1CLOSED
0-frontier/2025-08-07-gpt-5-base-FRONTIER.png,GPT 5,2025-08-07,0,FRONTIER,1CLOSED
0-frontier/2025-08-07-gpt-5-nano-base-FRONTIER.png,GPT 5 Nano,2025-08-07,0,FRONTIER,1CLOSED
0-frontier/2025-09-15-gpt-5-codex-base-FRONTIER.png,GPT 5 Codex,2025-09-15,0,FRONTIER,1CLOSED
0-frontier/2025-09-29-claude-sonnet-4-5-base-FRONTIER.png,Claude Sonnet 4.5,2025-09-29,0,FRONTIER,1CLOSED
0-frontier/2025-10-15-claude-haiku-4-5-base-FRONTIER.png,Claude Haiku 4.5,2025-10-15,0,FRONTIER,1CLOSED
0-frontier/2025-11-12-gpt-5-1-base-FRONTIER.png,GPT 5.1,2025-11-12,0,FRONTIER,1CLOSED
0-frontier/2025-11-12-gpt-5-1-codex-base-FRONTIER.png,GPT 5.1 Codex,2025-11-12,0,FRONTIER,1CLOSED
0-frontier/2025-11-13-gpt-5-1-codex-mini-base-FRONTIER.png,GPT 5.1 Codex Mini,2025-11-13,0,FRONTIER,1CLOSED
0-frontier/2025-11-19-gpt-5-1-codex-max-base-FRONTIER.png,GPT 5.1 Codex Max,2025-11-19,0,FRONTIER,1CLOSED
0-frontier/2025-11-24-claude-opus-4-5-base-FRONTIER.png,Claude Opus 4.5,2025-11-24,0,FRONTIER,1CLOSED
0-frontier/2025-12-11-gpt-5-2-base-FRONTIER.png,GPT 5.2,2025-12-11,0,FRONTIER,1CLOSED
0-frontier/2025-12-17-gemini-3-flash-base-FRONTIER.png,Gemini 3 Flash,2025-12-17,0,FRONTIER,1CLOSED
0-frontier/2025-12-18-gpt-5-2-codex-base-FRONTIER.png,GPT 5.2 Codex,2025-12-18,0,FRONTIER,1CLOSED
0-frontier/2026-01-27-kimi-k2-5-base-OPEN.png,Kimi K2.5,2026-01-27,4,OPEN,2OPEN
0-frontier/2026-02-05-claude-opus-4-6-base-FRONTIER.png,Claude Opus 4.6,2026-02-05,0,FRONTIER,1CLOSED
0-frontier/2026-02-05-gpt-5-3-codex-base-FRONTIER.png,GPT 5.3 Codex,2026-02-05,0,FRONTIER,1CLOSED
0-frontier/2026-02-11-glm-5-base-OPEN.png,GLM 5,2026-02-11,4,OPEN,2OPEN
0-frontier/2026-02-12-gpt-5-3-codex-spark-base-FRONTIER.png,GPT 5.3 Codex Spark,2026-02-12,0,FRONTIER,1CLOSED
0-frontier/2026-02-12-minimax-m2-5-base-FRONTIER.png,MiniMax M2.5,2026-02-12,0,FRONTIER,1CLOSED
0-frontier/2026-02-16-qwen3-5-plus-base-FRONTIER.png,Qwen3.5 Plus,2026-02-16,0,FRONTIER,1CLOSED
0-frontier/2026-02-17-claude-sonnet-4-6-base-FRONTIER.png,Claude Sonnet 4.6,2026-02-17,0,FRONTIER,1CLOSED
0-frontier/2026-03-05-gpt-5-4-base-FRONTIER.png,GPT 5.4,2026-03-05,0,FRONTIER,1CLOSED
0-frontier/2026-03-05-gpt-5-4-pro-base-FRONTIER.png,GPT 5.4 Pro,2026-03-05,0,FRONTIER,1CLOSED
0-frontier/2026-03-17-gpt-5-4-mini-base-FRONTIER.png,GPT 5.4 Mini,2026-03-17,0,FRONTIER,1CLOSED
0-frontier/2026-03-17-gpt-5-4-nano-base-FRONTIER.png,GPT 5.4 Nano,2026-03-17,0,FRONTIER,1CLOSED
0-frontier/2026-03-18-minimax-m2-7-base-OPEN.png,MiniMax M2.7,2026-03-18,4,OPEN,2OPEN
0-frontier/2026-04-02-qwen3-6-plus-base-FRONTIER.png,Qwen3.6 Plus,2026-04-02,0,FRONTIER,1CLOSED
0-frontier/2026-04-07-glm-5-1-base-OPEN.png,GLM 5.1,2026-04-07,4,OPEN,2OPEN
0-frontier/2026-04-16-claude-opus-4-7-base-FRONTIER.png,Claude Opus 4.7,2026-04-16,0,FRONTIER,1CLOSED
0-frontier/2026-04-20-kimi-k2-6-base-OPEN.png,Kimi K2.6,2026-04-20,4,OPEN,2OPEN
0-frontier/2026-04-23-gpt-5-5-base-FRONTIER.png,GPT 5.5,2026-04-23,0,FRONTIER,1CLOSED
0-frontier/2026-04-23-gpt-5-5-pro-base-FRONTIER.png,GPT 5.5 Pro,2026-04-23,0,FRONTIER,1CLOSED
5-oldopenweight/2026-05-21-qwen3-7-max-base-OPEN.png,Qwen3.7 Max,2026-05-21,4,OPEN,2OPEN
0-frontier/2026-05-28-claude-opus-4-8-base-FRONTIER.png,Claude Opus 4.8,2026-05-28,0,FRONTIER,1CLOSED
0-frontier/2026-06-01-minimax-m3-base-OPEN.png,MiniMax M3,2026-06-01,4,OPEN,2OPEN
5-oldopenweight/2026-06-03-qwen3-7-plus-base-OPEN.png,Qwen3.7 Plus,2026-06-03,4,OPEN,2OPEN
0-frontier/2026-06-09-claude-fable-5-base-FRONTIER.png,Claude Fable 5,2026-06-09,0,FRONTIER,1CLOSED
0-frontier/2026-06-12-kimi-k2-7-code-base-OPEN.png,Kimi K2.7 Code,2026-06-12,4,OPEN,2OPEN
0-frontier/2026-06-13-glm-5-2-base-OPEN.png,GLM 5.2,2026-06-13,4,OPEN,2OPEN
0-frontier/2026-06-30-claude-sonnet-5-base-FRONTIER.png,Claude Sonnet 5,2026-06-30,0,FRONTIER,1CLOSED
0-frontier/2026-07-08-grok-4-5-base-FRONTIER.png,Grok 4.5,2026-07-08,0,FRONTIER,1CLOSED
0-frontier/2026-07-09-gpt-5-6-luna-base-FRONTIER.png,GPT 5.6 Luna,2026-07-09,0,FRONTIER,1CLOSED
0-frontier/2026-07-09-gpt-5-6-sol-base-FRONTIER.png,GPT 5.6 Sol,2026-07-09,0,FRONTIER,1CLOSED
